,longitude,latitude,the_geom,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
8916,-87.72204994499998,41.939197207999996,POINT (-87.72204994499998 41.939197207999996),9316,BELMONT,MILWAUKEE,WB,NS,77,N77,CHICAGO,Belmont & Hamlin
8917,-87.76369627700001,41.93137197200002,POINT (-87.76369627700001 41.93137197200002),11092,DIVERSEY,LINDER,WB,NS,76,N77,CHICAGO,Diversey & Linder
8918,-87.59639080300002,41.75875425999999,POINT (-87.59639080300002 41.75875425999999),15161,75TH STREET,SOUTH CHICAGO,WB,FS,75,,CHICAGO,75th Street & South Chicago
8919,-87.68098483799997,41.78658736199998,POINT (-87.68098483799997 41.78658736199998),13072,59TH STREET,OAKLEY,WB,NS,59,,CHICAGO,59th Street & Oakley
8920,-87.79371362699999,41.95284532400001,POINT (-87.79371362699999 41.95284532400001),5737,IRVING PARK,NORMANDY,WB,NT,80,,CHICAGO,Irving Park & Normandy
8921,-87.83284599900003,41.944807000000026,POINT (-87.83284599900003 41.944807000000026),12464,ADDISON,PITTSBURGH,EB,NS,152,,CHICAGO,Addison & Pittsburgh
8922,-87.68952073399998,41.978517291,POINT (-87.68952073399998 41.978517291),14182,WESTERN,BERWYN,EB,TERM,"49,X49",N49,CHICAGO,Western & Berwyn Terminal
8923,-87.721573551,41.953628149,POINT (-87.721573551 41.953628149),5641,IRVING PARK,RIDGEWAY,EB,NS,80,,CHICAGO,Irving Park & Ridgeway
8924,-87.649525976,41.69231178899997,POINT (-87.649525976 41.69231178899997),2921,111TH STREET,ABERDEEN,WB,NS,111,,CHICAGO,111th Street & Aberdeen
8925,-87.671296181,41.76841199699999,POINT (-87.671296181 41.76841199699999),10153,69TH STREET,WOLCOTT,EB,NS,67,,CHICAGO,69th Street & Wolcott
8926,-87.621471815,41.75091986199999,POINT (-87.621471815 41.75091986199999),2777,79TH STREET,MICHIGAN,EB,NS,79,N79,CHICAGO,79th Street & Michigan
8927,-87.588855561,41.773253841999974,POINT (-87.588855561 41.773253841999974),10195,67TH STREET,BLACKSTONE,EB,NS,"N5,67",N5,CHICAGO,67th Street & Blackstone
8928,-87.705536,41.86448500099999,POINT (-87.705536 41.86448500099999),3150,KEDZIE,13TH STREET,NB,NS,52,,CHICAGO,Kedzie & 13th Street
8929,-87.678218001,41.937685999999985,POINT (-87.678218001 41.937685999999985),8941,DAMEN,BARRY,NB,NS,50,,CHICAGO,Damen & Barry
8930,-87.68337699900002,41.77368799999999,POINT (-87.68337699900002 41.77368799999999),8320,WESTERN,66TH STREET,NB,NS,49,N49,CHICAGO,Western & 66th Street
8931,-87.69463777099998,41.82743507499998,POINT (-87.69463777099998 41.82743507499998),4174,CALIFORNIA,36TH PLACE,NB,NT,94,,CHICAGO,California & 36th Place
8932,-87.747949,41.971753999999976,POINT (-87.747949 41.971753999999976),10486,CICERO,ARGYLE,SB,NS,54A,,CHICAGO,Cicero & Argyle
8933,-87.806939,41.94166800099998,POINT (-87.806939 41.94166800099998),11781,HARLEM,ROSCOE,SB,NS,90,,CHICAGO,Harlem & Roscoe
8934,-87.76359735900002,41.971141707000015,POINT (-87.76359735900002 41.971141707000015),4746,MILWAUKEE,METRA STATION WALKWAY,NWB,MB,"68,85,85A,92",,CHICAGO,Jefferson Park Metra Station Walkway
8935,-87.70077005799999,41.68800244800002,POINT (-87.70077005799999 41.68800244800002),10056,KEDZIE,113TH STREET,SB,NT,52A,,CHICAGO,Kedzie & 113th Street
8936,-87.65232829199999,41.84447157300002,POINT (-87.65232829199999 41.84447157300002),4472,ARCHER,POPLAR,SWB,NT,62,N62,CHICAGO,Archer & Poplar
8937,-87.58508003700001,41.75099253799999,POINT (-87.58508003700001 41.75099253799999),7238,SOUTH CHICAGO,79TH STREET/STONY ISLAND,SEB,FS,30,,CHICAGO,South Chicago & 79th Street/Stony Island
8938,-87.72378578000001,41.80978632799997,POINT (-87.72378578000001 41.80978632799997),12843,PULASKI,46TH STREET,SB,NS,53A,,CHICAGO,Pulaski & 46th Street
8939,-87.690173286,42.00693867199999,POINT (-87.690173286 42.00693867199999),1699,WESTERN,MORSE(south leg),SB,NS,49B,,CHICAGO,Western & Morse
8940,-87.76169064999999,41.96974662399998,POINT (-87.76169064999999 41.96974662399998),14104,JEFFERSON PARK,BLUE LINE STATION/SOUTH B,SWB,TERM,81W,,CHICAGO,Jefferson Park Transit Center
8941,-87.59301755299998,41.79503477999998,POINT (-87.59301755299998 41.79503477999998),17563,55TH STREET,KENWOOD,EB,FS,"55,171",N55,CHICAGO,55th Street & Kenwood
8942,-87.58826199999999,41.802527,POINT (-87.58826199999999 41.802527),1525,E HYDE PARK,LAKE PARK,WB,FS,"2,15,172",,CHICAGO,E Hyde Park & Lake Park
8943,-87.59160088800002,41.79556507799998,POINT (-87.59160088800002 41.79556507799998),10569,55TH STREET,DORCHESTER,WB,NS,"55,171",N55,CHICAGO,55th Street & Dorchester
8944,-87.58805466000001,41.79528829399999,POINT (-87.58805466000001 41.79528829399999),10567,55TH STREET,LAKE PARK,WB,FS,"55,171",N55,CHICAGO,55th Street & Lake Park
8945,-87.62143777199998,41.82194375900002,POINT (-87.62143777199998 41.82194375900002),1554,INDIANA,40TH GREEN LINE STATION,NB,NS,39,,CHICAGO,Indiana Green Line Station
8946,-87.68382017200003,41.790309535999995,POINT (-87.68382017200003 41.790309535999995),15142,WESTERN,57TH STREET,NB,FS,49,N49,CHICAGO,Western & 57th Street
8947,-87.829240132,42.01090753,POINT (-87.829240132 42.01090753),9919,NORTHWEST HWY,PROSPECT,SEB,FS,68,,PARK RIDGE,Northwest Hwy & Prospect
8948,-87.71714399899997,41.83892400000002,POINT (-87.71714399899997 41.83892400000002),11203,LAWNDALE,30TH STREET,SB,NS,82,,CHICAGO,Lawndale & 30th Street
8949,-87.70217000100001,41.74424299999998,POINT (-87.70217000100001 41.74424299999998),9995,KEDZIE,82ND STREET,NB,NS,52A,,CHICAGO,Kedzie & 82nd Street
8950,-87.805864471,41.91416119799999,POINT (-87.805864471 41.91416119799999),15711,HARLEM,CORTLAND,NB,NS,"90,307",,CHICAGO,Harlem & Cortland
8951,-87.80589454599999,41.91794018899998,POINT (-87.80589454599999 41.91794018899998),15713,HARLEM,DICKENS,NB,NS,"90,307",,CHICAGO,Harlem & Dickens
8952,-87.593239197,41.80235702900001,POINT (-87.593239197 41.80235702900001),1644,E HYDE PARK,KENWOOD,EB,FS,"2,15,172",,CHICAGO,E Hyde Park & Kenwood
8953,-87.594500632,41.78787137500001,POINT (-87.594500632 41.78787137500001),13197,59TH STREET,KIMBARK,WB,NS,"171,172,192",,CHICAGO,59th Street & Kimbark
8954,-87.585707028,41.802565499000025,POINT (-87.585707028 41.802565499000025),1523,E HYDE PARK,EAST END,WB,FS,"6,28,172",,CHICAGO,E Hyde Park & East End
8955,-87.65749817800003,41.965246431000025,POINT (-87.65749817800003 41.965246431000025),5349,BROADWAY,WILSON,SB,FS,36,,CHICAGO,Broadway & Wilson
8956,-87.660900577,41.85233562600001,POINT (-87.660900577 41.85233562600001),17686,CERMAK,LOOMIS,EB,FS,21,,CHICAGO,Cermak & Loomis
8957,-87.67058707199999,42.01928161799998,POINT (-87.67058707199999 42.01928161799998),14671,HOWARD,ASHLAND,EB,FS,147,,CHICAGO,Howard & Ashland
8958,-87.71064199300002,41.93111706100001,POINT (-87.71064199300002 41.93111706100001),5561,MILWAUKEE,SPAULDING,NWB,FS,56,,CHICAGO,Milwaukee & Spaulding
8959,-87.693845587,41.79190133600002,POINT (-87.693845587 41.79190133600002),4282,CALIFORNIA,56TH STREET,SB,NS,94,,CHICAGO,California & 56th Street
8960,-87.72570516899998,41.87903084200002,POINT (-87.72570516899998 41.87903084200002),9035,PULASKI,WILCOX,SB,NS,53,N53,CHICAGO,Pulaski & Wilcox
8961,-87.70135856500002,41.704444506000016,POINT (-87.70135856500002 41.704444506000016),10047,KEDZIE,104TH STREET,SB,NS,52A,,CHICAGO,Kedzie & 104th Street
8962,-87.68225009000003,41.72282429500001,POINT (-87.68225009000003 41.72282429500001),8444,WESTERN,94TH STREET,SB,NS,95,,EVERGREEN PARK,Western & 94th Street
8963,-87.70309923999997,41.773581783,POINT (-87.70309923999997 41.773581783),10013,KEDZIE,66TH STREET,SB,NS,52A,,CHICAGO,Kedzie & 66th Street
