iter	RMSE
374	0.4842893777
375	0.4837247518
376	0.4833142046
377	0.4828102199
378	0.4825628488
379	0.4818812771
380	0.4812529708
381	0.4807217003
382	0.480303925
383	0.4797848788
384	0.4793110963
385	0.4788650858
386	0.478239841
387	0.4779256314
388	0.4773240052
389	0.4767163402
390	0.4760452102
391	0.4755409573
392	0.4751153211
393	0.4746875468
394	0.4741239222
395	0.4735368847
396	0.4728582506
397	0.4724225588
398	0.4720684031
399	0.4714152701
400	0.4706781458
401	0.4704622272
402	0.4698401741
403	0.4693449881
404	0.4689134282
405	0.4683620446
406	0.4682189488
407	0.4676309525
408	0.4670320261
409	0.4665249842
410	0.4661273781
411	0.4656987737
412	0.4650228381
413	0.4645360206
414	0.4641019715
415	0.4636287137
416	0.4635117349
417	0.4630543088
418	0.4627479528
419	0.4622936872
420	0.4618471076
421	0.4613093539
422	0.4609751722
423	0.4605620434
424	0.4601184364
425	0.4599454696
426	0.459436337
427	0.4592393554
428	0.4588296338
429	0.4584449876
430	0.4578540672
431	0.457423567
432	0.4571414567
433	0.4565424453
434	0.4561164726
435	0.4556636113
436	0.4549867241
437	0.4544818839
438	0.4538956
439	0.4534953492
440	0.4532778467
441	0.4530243146
442	0.4527751056
443	0.452336591
444	0.4519363253
445	0.4516147711
446	0.4514514038
447	0.4511763746
448	0.4508020901
449	0.4503661152
450	0.4498587782
451	0.4494099744
452	0.4490053519
453	0.448414271
454	0.4481774375
455	0.4477112851
456	0.4474014264
457	0.447109559
458	0.4466712806
459	0.4463368916
460	0.4458438318
461	0.445322218
462	0.4449498428
463	0.4445743302
464	0.4443737401
465	0.4437562086
466	0.443474654
467	0.4431772857
468	0.4426738049
469	0.4423431439
470	0.4420064533
471	0.4416185682
472	0.4412164871
473	0.4407101309
474	0.4404695306
475	0.4399009772
476	0.4394734267
477	0.4392347132
478	0.4387603346
479	0.4384813197
480	0.4381500099
481	0.4378293143
482	0.4375260177
483	0.437216675
484	0.4369712331
485	0.4367654777
486	0.4362761194
487	0.4359249212
488	0.4355435215
489	0.4350006275
490	0.4347936189
491	0.4342112196
492	0.4339597832
493	0.4333541764
494	0.4330176705
495	0.4327074234
496	0.4321274491
497	0.4318808335
498	0.4315808483
499	0.4311750967
500	0.4307080973
501	0.4305571268
502	0.4299944955
503	0.4296439546
504	0.4291362294
505	0.428813549
506	0.4284970339
507	0.4278793235
508	0.4275688987
509	0.4273241139
510	0.4266386698
511	0.4259982181
512	0.4255190221
513	0.4253267312
514	0.4247878179
515	0.424275371
516	0.4239295068
517	0.4237474225
518	0.4234039987
519	0.4230620998
520	0.4226212493
521	0.4223695731
522	0.422056537
523	0.4214722949
524	0.4212414626
525	0.4207622532
526	0.4202563912
527	0.4199123912
528	0.4195327193
529	0.4191456056
530	0.418929829
531	0.4184600054
532	0.4181722694
533	0.4175995782
534	0.4173380523
535	0.416880537
536	0.4163815939
537	0.4160911368
538	0.4156445236
539	0.4153276581
540	0.414972892
541	0.4147762287
542	0.4144577407
543	0.4139910852
544	0.4137245739
545	0.4134201513
546	0.4129281649
547	0.4125912449
548	0.4123220447
549	0.4118917843
550	0.4115920925
551	0.4112072129
552	0.4107335968
553	0.4104642233
554	0.4101895697
555	0.4099238256
556	0.4095898403
557	0.4091535855
558	0.4089493283
559	0.4084150341
560	0.4081369054
561	0.4077284639
562	0.4074787483
563	0.4069862348
564	0.4065714464
565	0.4063685804
566	0.406054803
567	0.4056319683
568	0.405244579
569	0.40500953
570	0.4048265486
571	0.404565554
572	0.4041263078
573	0.4038308171
574	0.4033235757
575	0.4029584045
576	0.4027002751
577	0.4025096907
578	0.4021065529
579	0.4018648409
580	0.4016339472
581	0.401343904
582	0.4010631111
583	0.400694925
584	0.4004733918
585	0.4000143302
586	0.3996235869
587	0.3993694469
588	0.398926921
589	0.3985489206
590	0.3983818507
591	0.3980754916
592	0.3975802859
593	0.3971610625
594	0.3968340283
595	0.3966118948
596	0.3964232955
597	0.3962026347
598	0.3959779096
599	0.3954415755
600	0.3952080594
601	0.3949703139
602	0.394742188
603	0.3943027157
604	0.3940038
605	0.3936363805
606	0.3933766493
607	0.3930268684
608	0.392570639
609	0.3922698941
610	0.3917719078
611	0.3914944847
612	0.391242197
613	0.3911144015
614	0.3907260435
615	0.3905353753
616	0.3902462425
617	0.389827028
618	0.3894449812
619	0.3891996529
620	0.3888419756
621	0.3887385879
622	0.3884663981
623	0.3882017791
624	0.3876912055
625	0.3873938741
626	0.3872596316
627	0.3869986843
628	0.3865923303
629	0.3863817073
630	0.3861133271
631	0.3856660626
632	0.3852262226
633	0.3848961383
634	0.3846474464
635	0.3842599323
636	0.3839258226
637	0.3837072602
638	0.3835494289
639	0.3832912435
640	0.3829462371
641	0.3827806734
642	0.3824395077
643	0.3821848279
644	0.3818475552
645	0.3815451686
646	0.3813556525
647	0.3811461865
648	0.3807444467
649	0.3803600993
650	0.3801392121
651	0.3797829298
652	0.379406435
653	0.3790535106
654	0.3787135054
655	0.378582082
656	0.378371991
657	0.3780354263
658	0.3775559912
659	0.3772851478
660	0.3768839897
661	0.376691249
662	0.3764859131
663	0.3762219272
664	0.3758475443
665	0.3755002783
666	0.3751898764
667	0.3748642696
668	0.3746069959
669	0.3743767055
670	0.3740496215
671	0.3738234376
672	0.3734767208
673	0.3732233025
674	0.3729302809
675	0.3726952051
676	0.3722594855
677	0.3719495106
678	0.3716925402
679	0.3713821082
680	0.3711302848
681	0.3709226666
682	0.3707227434
683	0.370330822
684	0.3701066073
685	0.3698258454
686	0.3693851799
687	0.3691407311
688	0.3688756513
689	0.3685367647
690	0.3682762415
691	0.3681234898
692	0.3679347706
693	0.3676416181
694	0.3671474629
695	0.3667848737
696	0.3664375897
697	0.3661501077
698	0.365902711
699	0.3655697283
700	0.3652536126
701	0.3650939801
702	0.3646428151
703	0.3643841467
704	0.3642692686
705	0.3639911395
706	0.3637229479
707	0.3634993148
708	0.3631891037
709	0.3628921557
710	0.36248904
711	0.3622682004
712	0.3619844912
713	0.3616799142
714	0.3613228649
715	0.3610549063
716	0.3607818003
717	0.3605658365
718	0.3602599957
719	0.3599455533
720	0.3596561747
721	0.3594844255
722	0.3592756404
723	0.3590140075
724	0.3587423732
725	0.3584172521
726	0.3581124867
727	0.3578057597
728	0.357524898
729	0.3574265076
730	0.3570042471
731	0.3567456585
732	0.3565135849
733	0.3562790741
734	0.3560056263
735	0.3556715054
736	0.3554217308
737	0.3551528093
738	0.3549141135
739	0.3545944337
740	0.3543413987
741	0.3540944219
742	0.3538951983
743	0.353553088
744	0.3533001245
745	0.3529839942
746	0.3527626006
747	0.352539485
748	0.352244304
749	0.3520367248
750	0.3518265647
751	0.3514604957
752	0.3511834707
753	0.351029997
754	0.3507896899
755	0.3504427408
756	0.350208999
757	0.3500752249
758	0.3498156649
759	0.3494944026
760	0.3491933291
761	0.3488722762
762	0.3485836148
763	0.3484394937
764	0.3481367651
765	0.3479410647
766	0.3476715519
767	0.3474098772
768	0.3471088024
769	0.3467970614
770	0.3466392051
771	0.3463495197
772	0.3460496604
773	0.3459174647
774	0.3457152918
775	0.3455385091
776	0.3453905989
777	0.345152208
778	0.3448656027
779	0.3446678105
780	0.3443262676
781	0.3439719545
782	0.3437235941
783	0.3434550568
784	0.3432112802
785	0.3428182456
786	0.3425807745
787	0.3421880402
788	0.3417926853
789	0.3415038307
790	0.3412895804
791	0.3409021896
792	0.3405525831
793	0.3401964286
794	0.3399274476
795	0.3395905317
796	0.339412375
797	0.3390930754
798	0.338922351
799	0.3386411737
800	0.3384755545
801	0.3381616657
802	0.3379126165
803	0.3377708988
804	0.3375675719
805	0.3374365774
806	0.3370171055
807	0.3368000825
808	0.336524158
809	0.3363098553
810	0.3361696891
811	0.3360534382
812	0.3358515065
813	0.3356045426
814	0.3353191845
815	0.3350677019
816	0.3349194193
817	0.3347139658
818	0.3344792731
819	0.3342884065
820	0.3342184666
821	0.3339817579
822	0.3337830547
823	0.3335260916
824	0.3333525176
825	0.3331235896
826	0.3330420622
827	0.33275109
828	0.332485778
829	0.3320731045
830	0.3317153597
831	0.3315252465
832	0.3313495459
833	0.3311479657
834	0.3308321059
835	0.3305760032
836	0.3303596018
837	0.3300891615
838	0.3297464735
839	0.3294049606
840	0.3291633795
841	0.3288783617
842	0.328760755
843	0.3285990162
844	0.3284138609
845	0.3282802403
846	0.3281677276
847	0.3279723329
848	0.3278410751
849	0.327562759
850	0.3272410596
851	0.3270178989
852	0.326914489
853	0.3265921223
854	0.3263326404
855	0.3260833494
856	0.3258457156
857	0.3256029665
858	0.3253963387
859	0.3251584126
860	0.3249805149
861	0.3248223758
862	0.3244901683
863	0.3241711648
864	0.323959827
865	0.3236553691
866	0.3233211375
867	0.3230836204
868	0.3227781464
869	0.3227101543
870	0.3224326659
871	0.3222391477
872	0.3218781179
873	0.321573342
874	0.3214525281
875	0.3213185329
876	0.3209652183
877	0.320802652
878	0.3205079678
879	0.320307419
880	0.3201141332
881	0.3198118025
882	0.3195522366
883	0.3192721868
884	0.319160109
885	0.3189572627
886	0.3186774747
887	0.3184936374
888	0.3182663459
889	0.3180371527
890	0.3178793808
891	0.317472135
892	0.3171695788
893	0.3169786461
894	0.3168610581
895	0.3166499457
896	0.3164825949
897	0.3162910121
898	0.3160841766
899	0.3157542556
900	0.315581662
901	0.3154149872
902	0.3152112108
903	0.3151056567
904	0.3148684548
905	0.3146325021
906	0.3145101385
907	0.3143686895
908	0.31424663
909	0.3140809642
910	0.3139675281
911	0.3137468997
912	0.3134638648
913	0.3132979321
914	0.3131309886
915	0.3130052922
916	0.3127627889
917	0.3125288803
918	0.312238356
919	0.3121640318
920	0.3119708414
921	0.3118660438
922	0.31159415
923	0.3114227692
924	0.3111109138
925	0.3108704528
926	0.3106835343
927	0.3104069261
928	0.3101499211
929	0.3098894736
930	0.309719161
931	0.3094252976
932	0.3091211066
933	0.3089193342
934	0.3086523725
935	0.308492147
936	0.3083008759
937	0.3079865642
938	0.3078035261
939	0.3075357589
940	0.3073585838
941	0.3072195277
942	0.306888053
943	0.3066123033
944	0.3063173824
945	0.3060832612
946	0.3058499429
947	0.3057117378
948	0.3055684873
949	0.3053234923
950	0.3051064263
951	0.3048259652
952	0.3045428104
953	0.3042374363
954	0.3040407695
955	0.3038219386
956	0.3035957549
957	0.3033356809
958	0.3032191875
959	0.3029848619
960	0.3028191064
961	0.3026820245
962	0.3025395692
963	0.3023992773
964	0.3022171009
965	0.3019232761
966	0.3017166984
967	0.3013230807
968	0.3011344333
969	0.3009224156
970	0.3007483874
971	0.3006035908
972	0.3003497897
973	0.3001673327
974	0.2999324783
975	0.2997340118
976	0.2994917016
977	0.2993365096
978	0.2990992021
979	0.2989734522
980	0.298796251
981	0.2985180201
982	0.2983288167
983	0.2981317955
984	0.297930316
985	0.2977985825
986	0.2976073852
987	0.2973725515
988	0.2972125441
989	0.2969346861
990	0.296838624
991	0.2966568697
992	0.2965513032
993	0.296389592
994	0.2961473935
995	0.2959529935
996	0.295652305
997	0.2954895345
998	0.2953309718
999	0.2951902151
24958
2960550879
